date,figure,fyear,measure,period,type,value
2019-09-30,common-outstanding-basic,2019.0,period,FY,common,4617834000
2018-09-30,common-outstanding-basic,2018.0,period,FY,common,4955377000
2017-09-30,common-outstanding-basic,2017.0,period,FY,common,5217242000
2016-09-30,common-outstanding-basic,2016.0,period,FY,common,5470820000
2015-09-30,common-outstanding-basic,2015.0,period,FY,common,5753421000
2014-09-30,common-outstanding-basic,2014.0,period,FY,common,6085572000
2013-09-30,common-outstanding-basic,2013.0,period,FY,common,6477320000
2012-09-30,common-outstanding-basic,2012.0,period,FY,common,6543726000
2011-09-30,common-outstanding-basic,2011.0,period,FY,common,6469806000
2010-09-30,common-outstanding-basic,2010.0,period,FY,common,6366227000
2009-09-30,common-outstanding-basic,2009.0,period,FY,common,6251112000
2008-09-30,common-outstanding-basic,2008.0,period,FY,common,6171144000
2007-09-30,common-outstanding-basic,2007.0,period,FY,common,6052165000
